0:0:0:0:0:0:0:1 - - [21/Jan/2016:00:04:21 -0800] "GET /js/bootstrap-window/js/Window.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2016:00:04:21 -0800] "GET /js/angular-file-upload/dist/angular-file-upload.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2016:00:04:21 -0800] "GET /js/bootstrap-window/js/WindowManager.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2016:00:04:21 -0800] "GET /js/bindonce.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2016:00:04:21 -0800] "GET /sablo/lib/reconnecting-websocket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2016:00:04:21 -0800] "GET /sablo/js/websocket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2016:00:04:21 -0800] "GET /sablo/js/sablo_app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2016:00:04:21 -0800] "GET /js/servoy.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2016:00:04:21 -0800] "GET /solutions/sampleuse_navigation/index.html HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [21/Jan/2016:00:04:21 -0800] "GET /js/servoyWindowManager.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2016:00:04:21 -0800] "GET /js/servoyformat.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2016:00:04:21 -0800] "GET /js/servoytooltip.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2016:00:04:21 -0800] "GET /js/servoy-components.js HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [21/Jan/2016:00:04:21 -0800] "GET /js/fileupload.js HTTP/1.1" 304 -
